packet_id, eth_src_addr,eth_dst_addr,eth_prot,IP_vers,IHL,type_svc,tot_len,id,TTL,IP_prot,IP_prot_name,hdr_chksm,src_ip,dst_ip
201921018516,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,26624,23101,255,6,TCP,16104,172.31.15.212,34.218.119.33
201921018517,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,34529,253,6,TCP,17990,34.218.119.33,172.31.15.212
201921018518,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,28672,34785,253,6,TCP,2374,34.218.119.33,172.31.15.212
201921018519,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,28672,23357,255,6,TCP,13800,172.31.15.212,34.218.119.33
201921018511,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,35041,253,6,TCP,17478,34.218.119.33,172.31.15.212
201921018522,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,26624,4096,253,6,TCP,35367,34.218.119.32,172.31.15.212
201921018523,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,20480,62116,255,6,TCP,49024,172.31.15.212,34.218.119.32
201921018524,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,4352,253,6,TCP,48423,34.218.119.32,172.31.15.212
201921018525,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,28672,35297,253,6,TCP,1862,34.218.119.33,172.31.15.212
201921018526,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,28672,23613,255,6,TCP,13544,172.31.15.212,34.218.119.33
201921018527,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,35553,253,6,TCP,16966,34.218.119.33,172.31.15.212
201921018528,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,28672,35809,253,6,TCP,1350,34.218.119.33,172.31.15.212
201921018529,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,23869,255,6,TCP,17384,172.31.15.212,34.218.119.33
201921018521,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,26624,24125,255,6,TCP,15080,172.31.15.212,34.218.119.33
